"C_d","d2","d98","C_q","q2","q98","Well","MST_sample_number","spcabbr","conc_copies_per_uL","Accepted_Droplets","Positives","Negatives","Tot_drop","init_concentration","ddpcrno","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","Total_drop","Species","WellType","Conc","st_idx","species_idx","sp_st_idx","pres"
-1.91,-5.91,0.77,-0.8,-3.37,1.12,"C04","MST1022","Karmik",0,15515,0,15515,15515,NA,"ddpcr0019",NA,0.428,"2021-dec-08","2021-05-20","2021-05-17","2021-05-17","9",1,"MST-SX22",400,"MSTOJL",94400007,"ARH1700006_94400007",56.1547333333333,10.3170055555556,162,"MST1022","MST1022_2021-05-17","MST1022::2021-05-17","MST1022STEX22_02","janeRobertsen",NA,"Frigg",NA,"22_02",10.9,"MST1022","ja",1100,FALSE,17,5,2021,15515,"Karmik","Unknown",0,1,1,1,0
-1.88,-5.76,0.74,-0.79,-3.47,1.16,"G05","MST1024","Karmik",0,17176,0,17176,17176,NA,"ddpcr0019",NA,1,"2022-jan-06","2021-04-19","2021-04-15","2021-04-15",NA,5,"MST-SX23",400,"MSTMJL",93770056,"NissumBredning",56.6008333333333,8.400225,6,"MST1024","MST1024_2021-04-15","MST1024::2021-04-15","MST1024STEX23_14","JOCTH",NA,"Musling",NA,"23_14",69,"MST1024","nej",1500,FALSE,15,4,2021,17176,"Karmik","Unknown",0,2,1,2,0
-1.92,-5.93,0.72,-0.79,-3.41,1.14,"H03","MST1027","Karmik",0,16310,0,16310,16310,NA,"ddpcr0019",NA,5.4,"2022-feb-01","2021-03-26","2021-03-19","2021-03-19","95",155,"MST-SX25",400,"MSTFYN",96510125,"Sydfynskeoehav_BF11",55.0262,10.3685111111111,165,"MST1027","MST1027_2021-03-19","MST1027::2021-03-19","MST1027STEX25_15","RasmusBillegrav",NA,"LivII",NA,"25_15",42,"MST1027","ja",1500,FALSE,19,3,2021,16310,"Karmik","Unknown",0,3,1,3,0
0.51,-0.8,1.32,-0.79,-3.42,1.13,"G03","MST1028","Karmik",0.0686408951878548,17140,1,17139,17140,NA,"ddpcr0019",NA,7.15,"2022-jan-06","2021-03-26","2021-03-15","2021-03-15","17",282,"MST-SX23",400,"MSTSYD",95700008,"FFSB0011",54.8341666666667,9.81666666666667,292,"MST1028","MST1028_2021-03-15","MST1028::2021-03-15","MST1028STEX23_11","RasmusBillegrav",NA,"LivII",NA,"23_11",27.8,"MST1028","ja",1600,FALSE,15,3,2021,17140,"Karmik","Unknown",0.0686408951878548,4,1,4,1
-1.97,-6.22,0.71,-0.79,-3.43,1.2,"H05","MST1031","Karmik",0,17760,0,17760,17760,NA,"ddpcr0019",NA,17.5,"2022-feb-01","2021-03-26","2021-03-17","2021-03-17","Ingenlagdeling",89,"MST-SX25",400,"MST_SJL",93210013,"Isefjordydre",55.8656666666667,11.7835111111111,105,"MST1031","MST1031_2021-03-17","MST1031::2021-03-17","MST1031STEX25_11","PHELD_NIFSO",NA,"Daphne",NA,"25_11",33.6,"MST1031","nej",1500,FALSE,17,3,2021,17760,"Karmik","Unknown",0,5,1,5,0
-1.96,-5.91,0.72,-0.8,-3.46,1.18,"H06","MST1038","Karmik",0,17817,0,17817,17817,NA,"ddpcr0019",NA,2.61,"2022-jan-06","2021-04-16","2021-04-14","2021-04-14","3",111,"MST-SX23",400,"MST_STORSTRoeM",95220322,"BFKarrebaeksmindeBugt",55.1395,11.5002361111111,121,"MST1038","MST1038_2021-04-14","MST1038::2021-04-14","MST1038STEX23_09","Alkri",NA,"DAPHNE",NA,"23_09",60.3,"MST1038","ja",1700,FALSE,14,4,2021,17817,"Karmik","Unknown",0,6,1,6,0
-1.94,-6.11,0.76,-0.8,-3.39,1.14,"A02","MST1039","Karmik",0,16400,0,16400,16400,NA,"ddpcr0019",NA,13.6,"2022-feb-01","2021-05-03","2021-04-26","2021-04-26","na",1,"MST-SX25",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21670555555556,32,"MST1039","MST1039_2021-04-26","MST1039::2021-04-26","MST1039STEX25_19","JettePoulsenEngholm",NA,"Penelope",NA,"25_19",95,"MST1039","nej",570,FALSE,26,4,2021,16400,"Karmik","Unknown",0,7,1,7,0
0.55,-0.73,1.34,-0.77,-3.32,1.13,"F05","MST1043","Karmik",0.0726283714175224,16199,1,16198,16199,NA,"ddpcr0019",NA,3.06,"2022-jan-06","2021-04-12","2021-04-06","2021-04-06",NA,11,"MST-SX23",400,"MSTOJL",93500119,"Hevringbugt",56.6261666666667,10.3204,12,"MST1043","MST1043_2021-04-06","MST1043::2021-04-06","MST1043STEX23_02","JOCTH",NA,"Musling",NA,"23_02",64.3,"MST1043","nej",1500,FALSE,6,4,2021,16199,"Karmik","Unknown",0.0726283714175224,8,1,8,1
-1.9,-5.92,0.73,-0.19,-2.53,1.54,"B06","MST1054","Karmik",0,15840,0,15840,15840,NA,"ddpcr0019",NA,6.85,"2022-jan-11","2021-05-31","2021-05-18","2021-05-18","38m",1,"MST-SX24",400,"MST_FYN",99000052,"DMU444_Arkona",55,13.3,48,"MST1054","MST1054_2021-05-18","MST1054::2021-05-18","MST1054STEX24_23","ALKRI_NIFSO",NA,"Sif",NA,"24_23",92,"MST1054","ja",1400,FALSE,18,5,2021,15840,"Karmik","Unknown",0,9,1,9,0
0.54,-0.75,1.33,-0.8,-3.52,1.16,"G07","MST2021002","Karmik",0.071515791118145,16451,1,16450,16451,NA,"ddpcr0019",NA,5.4,"2021-dec-08","2021-07-08","2021-07-07","2021-07-07","_",57,"MST-SX22",400,"MSTSTO",96220363,"0101142EnoeNor",55.15755,11.6357944444444,67,"MST2021002","MST2021002_2021-07-07","MST2021002::2021-07-07","MST2021002STEX22_04","jakobOleLarsen",NA,"ABRA","MST2021002STEX22_04","22_04",20.4,"MST2021002","nej",1000,TRUE,7,7,2021,16451,"Karmik","Unknown",0.071515791118145,10,1,10,1
